contentsid;label;contentscd;title;regioncd_value;regioncd_label;region1cd_value;region1cd_label;region2cd_value;region2cd_label;tag
CNTS_000000000019334;숙박;c3;파미유스파리조트;4;남부;region2;서귀포시;21;서귀포시내;숙소,스파,리조트,휴양콘도,서귀포,수영장,공공와이파이존,가족,정원,어린이,어린이놀이방,가족호텔,공용주차장,현금결제,카드결제,화장실,무료WIFI,흡연구역,편의점,음료대,유도및안내시설,경보및피난시설,엘리베이터,단차없음,장애인화장실,승강기,장애인전용주차장,장애인전용객실
CNTS_000000000019340;숙박;c3;1915 지오하우스;2;동부;region2;서귀포시;17;성산;휴식,숙소,민박,고향민박,게스트하우스,지질트레일,체험,공용주차장,현금결제,화장실,흡연구역,지오브랜드
CNTS_000000000021333;테마여행;c6;맛과 멋, 밤과 빛이 있는 <서귀포 원도심 여행>;4;남부;region2;서귀포시;21;서귀포시내;식도락,예술,전통시장,밤,실내,폭포,미술/박물관,걷기/등산,경관/포토,친구,커플,혼자,사계절,포토스팟
CNTS_200000000009137;숙박;c3;추자피싱랜드;1;북부;region3;섬 속의 섬;32;추자도;추자카페,추자숙박,추자도,화장실,무료WIFI,카드결제,현금결제,아주어려움,없음,동반불가능,유료제공,흡연구역제공,식음료장,세탁서비스,바베큐장,없음,운행
CNTS_200000000013726;테마여행;c6;2022년 가을 놓치지 말아야 할 제주 관광 10선 <걷고 싶은 계절, 제주의 가을을 탐하다>;1;북부;region3;섬 속의 섬;32;추자도;부모,커플,혼자,친구,아이,휴식/힐링,가을,청년,중/장년,노년,휴식/치유,관광10선,식물군락지
CNTS_000000000021402;관광지;c1;한동환해장성;2;동부;region1;제주시;16;구좌;경관/포토,문화유적지,쉬움
CNTS_200000000007656;테마여행;c6;제주 먹거리 & 식재료 탐방 여행<제주도 자연이 담아낸 식재료와 음식들, 제주도 로컬 푸드>;2;동부;region1;제주시;16;구좌;체험관광,휴식/힐링,친구,아이,6차산업
CNTS_000000000021070;음식점;c4;백기해녀의 집;2;동부;region2;서귀포시;17;성산;매운탕,전복죽,칼국수,횟집,음식,성게국,성게미역국,공용주차장,화장실,아주어려움
CNTS_200000000014107;음식점;c4;한라산아래첫마을 제주민속촌점;2;동부;region2;서귀포시;26;표선;식당,한식,럭셔리트래블인제주,메밀비빔냉면,냉면,곰탕,돼지수육,김밥,만두,메밀전,음식,공용주차장,현금결제,카드결제,화장실,무료WIFI,카드결제,현금결제
CNTS_200000000007630;음식점;c4;종달리엔 심야식당;2;동부;region1;제주시;16;구좌;야끼소바,흑돼지,제주에일,맥주,무알콜,술,사케,레몬에이드,청귤에이드,에이드
CNTS_300000000015857;관광지;c1;브리더스파크;2;동부;region1;제주시;16;구좌;맑음,체험관광,사계절,구좌읍,송당리,승마,외승,말,이색체험,실외,중,1~2시간
CNTS_000000000021293;음식점;c4;만덕식당;3;서부;region1;제주시;14;한경;갈치조림,고등어조림,갈치구이,성게미역국,전복죽,음식,제주갈치조림,공용주차장
CNTS_200000000014075;숙박;c3;누울;2;동부;region1;제주시;16;구좌;숙소
CNTS_200000000007521;관광지;c1;덕천리 팔자 좋아 길;2;동부;region1;제주시;16;구좌;걷기/도보
CNTS_000000000021282;숙박;c3;디스이즈핫;2;동부;region1;제주시;16;구좌;휴식,숙소,펜션,휴양펜션,조식포함,주차장,자연경관
CNTS_300000000016052;테마여행;c6;한여름 더위를 이기는 꿀팁 <제주의 맛, 송산동>;2;동부;region1;제주시;16;구좌;,제주마을산책,로컬여행,서귀포마을산책,송산동,자리돔,제주여름별미,자리물회,자리구이,제주맛집,올레6코스,한달살이제주
CONT_000000000500864;숙박;c3;마이테르유스호스텔;1;북부;region1;제주시;12;애월;유스호스텔,공용주차장,현금결제,카드결제,화장실,무료WIFI,흡연구역,편의점,음료대,유도및안내시설,경보및피난시설,단차없음,장애인전용주차장,어려움
CNTS_200000000014655;음식점;c4;오크라;3;서부;region1;제주시;13;한림;한림,귀덕리,돈까스,뷔페,무한리필,돈까스뷔페
CONT_000000000501140;숙박;c3;제주하나호텔;4;남부;region2;서귀포시;24;중문;호텔,공용주차장,현금결제,카드결제,화장실,무료WIFI,편의점,음료대,유도및안내시설,경보및피난시설,엘리베이터,단차없음,승강기,장애인전용주차장,아주어려움
CNTS_000000000022850;관광지;c1;현의합장묘역;4;남부;region2;서귀포시;25;남원;4.3,문화유적지
